subject,trial,response,reward,trial_type,accuracy
4033,1,3,0,1,1
4033,2,2,0,1,0
4033,3,1,1,0,1
4033,4,1,1,0,1
4033,5,3,0,1,1
4033,6,1,0,0,1
4033,7,2,0,1,0
4033,8,3,-1,1,1
4033,9,1,1,0,1
4033,10,1,1,0,1
4033,11,2,-1,1,0
4033,12,1,1,0,1
4033,13,2,0,1,0
4033,14,2,0,1,0
4033,15,-99,-99,1,-99
4033,16,3,1,1,1
4033,17,2,-1,1,0
4033,18,3,0,1,1
4033,19,3,0,1,1
4033,20,1,1,0,1
4033,21,1,0,0,1
4033,22,3,0,1,1
4033,23,3,-1,1,1
4033,24,1,1,0,1
4033,25,2,-1,1,0
4033,26,1,1,0,1
4033,27,3,0,1,1
4033,28,1,1,0,1
4033,29,1,1,0,1
4033,30,1,1,0,1
4033,31,3,1,1,1
4033,32,1,0,0,1
4033,33,-99,-99,1,-99
4033,34,2,-1,1,0
4033,35,1,0,0,1
4033,36,3,0,1,1
4033,37,2,-1,1,0
4033,38,-99,-99,0,-99
4033,39,1,1,0,1
4033,40,1,1,0,1
4033,41,3,0,0,0
4033,42,1,1,0,1
4033,43,2,-1,1,0
4033,44,2,-1,1,0
4033,45,2,-1,1,0
4033,46,1,1,0,1
4033,47,1,1,0,1
4033,48,3,0,1,1
4033,49,2,-1,1,0
4033,50,1,1,0,1
4033,51,1,1,0,1
4033,52,-99,-99,0,-99
4033,53,1,1,0,1
4033,54,2,-1,1,0
4033,55,1,0,0,1
4033,56,1,0,0,1
4033,57,1,1,0,1
4033,58,-99,-99,0,-99
4033,59,-99,-99,0,-99
4033,60,3,0,1,1
4033,61,2,0,1,0
4033,62,1,1,0,1
4033,63,1,0,0,1
4033,64,1,1,0,1
4033,65,3,0,1,1
4033,66,1,1,0,1
4033,67,1,1,0,1
4033,68,2,-1,1,0
4033,69,2,-1,1,0
4033,70,3,0,1,1
4033,71,3,0,1,1
4033,72,-99,-99,1,-99
4033,73,3,0,1,1
4033,74,1,1,0,1
4033,75,3,0,1,1
4033,76,1,1,0,1
4033,77,3,-1,1,1
4033,78,1,1,0,1
4033,79,1,1,0,1
4033,80,3,0,1,1
4033,81,1,1,0,1
4033,82,1,0,0,1
4033,83,1,1,0,1
4033,84,1,1,0,1
4033,85,3,0,1,1
4033,86,3,1,1,1
4033,87,3,0,1,1
4033,88,1,1,0,1
4033,89,1,1,0,1
4033,90,-99,-99,1,-99
4033,91,3,0,1,1
4033,92,1,1,0,1
4033,93,3,0,1,1
4033,94,-99,-99,1,-99
4033,95,1,0,0,1
4033,96,3,0,1,1
4033,97,3,0,1,1
4033,98,1,1,0,1
4033,99,1,1,0,1
4033,100,3,0,1,1
